TimeStamp;Relative Time;srcIP;dstIP;srcPort;dstPort;ipLen;len;fmt;uType;asduType;numix;cot;oa;addr
17:16:01.89;11.982983000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.982983000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.983343000;192.168.11.248;192.168.11.111;2404;56693;73;57;0x00000000;;125;1;13;0;65535
17:16:01.89;11.983587000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:01.89;11.984301000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:01.89;11.984301000;192.168.11.248;192.168.11.111;2404;56693;576;253;0x00000000;;125;1;13;0;65535
17:16:02.09;12.183390000;192.168.11.248;192.168.11.111;2404;56693;555;57;0x00000000;;125;1;13;0;65535
17:16:02.09;12.183390000;192.168.11.248;192.168.11.111;2404;56693;555;253;0x00000000;;125;1;13;0;65535
17:16:02.09;12.183390000;192.168.11.248;192.168.11.111;2404;56693;555;205;0x00000000;;125;1;13;0;65535
17:16:02.09;12.183390000;192.168.11.248;192.168.11.111;2404;56693;555;18;0x00000000;;123;1;13;0;65535
17:16:02.09;12.183892000;192.168.11.111;192.168.11.248;56693;2404;46;4;0x00000001;;;;;;
17:16:02.09;12.184528000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.09;12.184906000;192.168.11.248;192.168.11.111;2404;56693;60;18;0x00000000;;123;1;13;0;65535
17:16:02.09;12.185125000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;124;1;13;0;65535
17:16:02.09;12.185518000;192.168.11.248;192.168.11.111;2404;56693;46;4;0x00000001;;;;;;
17:16:02.21;12.298539000;192.168.11.111;192.168.11.248;56693;2404;59;17;0x00000000;;122;1;13;0;65535
17:16:02.21;12.299182000;192.168.11.248;192.168.11.111;2404;56693;61;19;0x00000000;;120;1;13;0;65535
